mo_code,mo_name,mo_rank,episode_days,incub_min_days,incub_max_days,case_free_days,cooldown_days,rt_applicable,si_mean_days,si_sd_days,si_dist,mem_applicable,severity_weight,source_ref
B_SALMONELLA,Salmonella (non-typhoidal),genus,21,0.5,3,14,14,0,,,,0,0.8,
B_CAMPYLOBACTER,Campylobacter,genus,30,1,7,14,14,0,,,,0,0.7,
B_SHIGELLA,Shigella,genus,21,1,3,14,14,1,2.5,1.5,gamma,0,0.9,Kirkwood et al. 2020 J Infect Dis (estimate for shigellosis household SI)
B_STX,Shiga toxin-producing E. coli (STEC/EHEC),species,30,1,10,21,21,1,4.5,2,gamma,0,1.0,Robinson et al. 2020 Epidemiol Infect (STEC SI estimate)
B_LISTERIA,Listeria monocytogenes,species,90,3,70,21,21,0,,,,0,1.0,
B_LEGIONELLA,Legionella (excl. Pontiac fever),genus,30,2,10,14,14,0,,,,0,1.0,
B_CLOSTRIDIOIDES_DIFFICILE,Clostridioides difficile,species,60,1,28,21,21,0,,,,0,0.9,
B_MRSA,Meticillin-resistant Staphylococcus aureus,species,180,,,21,21,0,,,,0,0.8,
B_VRE,Vancomycin-resistant enterococci,genus,180,,,21,21,0,,,,0,0.7,
B_CPE,Carbapenemase-producing Enterobacterales,group,365,,,21,21,0,,,,0,1.0,
B_NEISSERIA_MENINGITIDIS,Neisseria meningitidis,species,30,1,10,21,21,0,,,,0,1.0,
B_MYCOBACTERIUM_TUBERCULOSIS,Mycobacterium tuberculosis complex,group,365,14,365,14,,0,,,,0,1.0,
B_BORDETELLA_PERTUSSIS,Bordetella pertussis,species,21,4,21,14,14,1,20,7,gamma,0,0.6,Kretzschmar et al. 2010 PLoS Med (pertussis SI window)
V_NOROVIRUS,Norovirus,genus,14,0.5,3,14,14,1,3,1.5,gamma,0,0.6,Sukhrie et al. 2012 Epidemiol Infect (norovirus SI in institutional outbreaks)
V_ROTAVIRUS,Rotavirus,genus,14,1,3,14,14,0,,,,0,0.5,
V_INFLUENZA_A,Influenza A,species,14,1,4,14,14,1,2.6,1.1,gamma,1,0.6,Cowling et al. 2009 Epidemiology (influenza household SI)
V_INFLUENZA_B,Influenza B,species,14,1,4,14,14,1,2.6,1.1,gamma,1,0.5,"Cowling et al. 2009 Epidemiology (influenza household SI, applied to B)"
V_RSV,Respiratory syncytial virus,species,14,2,8,14,14,0,,,,1,0.5,
V_SARS_COV_2,SARS-CoV-2,species,30,2,14,14,14,1,5.2,1.7,lognormal,0,0.7,Nishiura et al. 2020 Int J Infect Dis (COVID-19 SI estimate)
P_GIARDIA,Giardia lamblia,species,60,3,25,21,21,0,,,,0,0.4,
F_CANDIDA_AURIS,Candida auris,species,365,,,21,21,0,,,,0,1.0,
